İlan başlığı,Fiyat,Oda sayısı,Metrekare,Mahalle / Konum bilgisi,Yayınlanma tarihi
Isparta Merkez. Özkanlar Kavşağı. 1+0 Apart. Balkonlu,9.000 TL,Stüdyo (1+0),30,"Kutlubey
Pirimehmet Mah.","16 Aralık
2025"
KİRALIK 3+1 3. kat sahibinden,21.999 TL,3+1,125,"Çelebiler
Ayazmana Mah.","16 Aralık
2025"
İSTİKLAL MAHALLESİ 3+1 SAHİBİNDEN KİRALIK DAİRE,21.500 TL,3+1,130,"Kepeci
İstiklal Mh.","16 Aralık
2025"
Sahibinden kiralık 1+0,7.000 TL,Stüdyo (1+0),40,"Anadolu
Fatih Mah.","16 Aralık
2025"
Çünür de Sahibinden kiralık apart.,15.500 TL,2+0,65,"Anadolu
Çünür Mh.","16 Aralık
2025"
ÇELİKEV GAYRİMENKUL'DEN ÖZKANLAR ÜZERİ YAKIT NET DAHİL 2+0 APART,9.000 TL,2+0,45,"Kutlubey
Bağlar Mh.","16 Aralık
2025"
ÇELİKEV GAYRİMENKUL'DEN ÇARŞIDA B.MAKİNELİ KLİMALI EŞYALI 2+1,17.500 TL,2+1,100,"Kepeci
Sermet Mah.","16 Aralık
2025"
ÇÜNÜR MAH 1+1 KİRALIK CADDE ÜZERİ EŞYALI DAİRE,12.500 TL,1+1,55,"Anadolu
Çünür Mh.","16 Aralık
2025"
ESKİ DOĞUM EVİ KARŞISI EN ÜST KAT MANZARALI 2+1 KİRALIK DAİRE,21.000 TL,2+1,150,"Kutlubey
Hızırbey Mh.","16 Aralık
2025"
KAYA EMLAKTAN EMRE MAH.KİRALIK DAİRE,25.000 TL,2+1,110,"Çelebiler
Emre Mah.","16 Aralık
2025"
"DAİRE KONSEPT KİRALIK APART (Klima, bulaşık makinesi vb)",16.000 TL,2+1,55,"Anadolu
Modern Evler Mah.","16 Aralık
2025"
AHBAP EMLAKTAN HALIKENTTE KİRALIK DAİRE,15.000 TL,3+1,135,"Çelebiler
Halıkent Mh.","16 Aralık
2025"
Çarşı ve Yeni Üniversite yakını Apart,8.750 TL,1+1,50,"Kutlubey
Hızırbey Mh.","16 Aralık
2025"
Gündoğdu'da 7/24 Güvenlikli Sitede Lüks Kiralık,17.000 TL,1+1,58,"Anadolu
Fatih Mah.","16 Aralık
2025"
,,,,,
SAHİBİNDEN ÇARŞI MERKEZDE MEYDAN AVM BİTİŞİĞİ 1+1 EŞYALI APART,10.000 TL,1+1,50,"Tokmacık
Yayla Mah.","16 Aralık
2025"
ANTALYA ÇEVREYOLU ÜZERİ SİTE İÇİNDE 3+1 KİRALIK DAİRE,29.000 TL,3+1,145,"Kepeci
Davraz Mah.","10 Aralık
2025"
ÇÜNÜR MAHALLESİNDE KİRALIK EŞYALI 2+1 ARA KAT DAİRE,12.000 TL,2+1,50,"Anadolu
Çünür Mh.","16 Aralık
2025"
Isubu yakını hastane caddesinde sıfır 1+1 eşyalı lüks daire,19.500 TL,1+1,48,"Çelebiler
Turan Mah.","16 Aralık
2025"
SAHİBİNDEN MERKEZDE 1+0 EŞYALI APART,8.500 TL,Stüdyo (1+0),35,"Anadolu
Sanayi Mah.","16 Aralık
2025"
ÇÜNÜR'DE SIFIR KİRALIK 2+1 APART,15.500 TL,2+1,50,"Anadolu
Çünür Mh.","16 Aralık
2025"
LİDER EMLAK-Yakıt internet dahil 3.Kat 1+1 11.000₺,11.000 TL,1+1,45,"Anadolu
Zafer Mah.","17 Aralık
2025"
KIRALIK SUIT ESYALI DAIRE 05323095650,8.000 TL,1+1,50,"Kutlubey
Pirimehmet Mah.","18 Aralık
2025"
KİRALIK APART,13.000 TL,1+1,48,"Anadolu
Bahçelievler Mh.","16 Aralık
2025"
FATİH MAH 2+1 APART DAİRE,11.000 TL,2+1,45,"Anadolu
Fatih Mah.","16 Aralık
2025"
ÇÜNÜR MAHALLESİ ULTRA LÜKS EŞYALI 2+1 KİRALIK DAİRE,25.000 TL,2+1,75,"Anadolu
Çünür Mh.","17 Aralık
2025"
32 ARTIBİR EMLAKTAN ÇÜNÜRDE LÜKS BALKONLU GENİŞ 1+0 APART DAİRE,10.000 TL,Stüdyo (1+0),48,"Anadolu
Çünür Mh.","17 Aralık
2025"
REGNO'dan MELEK GÜLSİTESİNDE KİRALIK 3+1 BAKIMLI DAİRE,23.500 TL,3+1,145,"Kepeci
Davraz Mah.","16 Aralık
2025"
,,,,,
LİDER EMLAK Fatih mah balkonlu 1+1 yakıt int dahil 12.000₺,12.000 TL,1+1,50,"Anadolu
Fatih Mah.","16 Aralık
2025"
kiralık full eşyalı daire,18.000 TL,2+1,96,"Kepeci
Sermet Mah.","15 Aralık
2025"
ÇÜNÜR DE ÜNİVERSİTEYE YAKİN 3+1 KİRALIK DAİRE,23.000 TL,3+1,160,"Anadolu
Çünür Mh.","16 Aralık
2025"
Mükemmel Konumda 4+1 Daire..,40.000 TL,4+1,185,"Kepeci
İstiklal Mh.","15 Aralık
2025"
KARABAY EMLAKTAN JANDARMA İL KOMUTANLIĞIARKASI KİRALIK 3+1 DAİRE,20.000 TL,3+1,140,"Kepeci
Davraz Mah.","15 Aralık
2025"
sahibinden temiz kiralık apart,7.000 TL,Stüdyo (1+0),2.117,"Anadolu
Bahçelievler Mh.","15 Aralık
2025"
KİRALIK 3+1 DAİRE. Isparta Sidre Mahallesi'nde bulunmaktadır.,15.000 TL,3+1,140,"Çelebiler
Sidre Mah.","15 Aralık
2025"
"ISUBU Üst sokağında, çarşıya 5 dk. yürüme mesafesinde",7.000 TL,1+1,65,"Tokmacık
Yayla Mah.","15 Aralık
2025"
BLACK // FATİH MAH. YAKIT NET DAHİL 1+0 APART,6.000 TL,Stüdyo (1+0),30,"Anadolu
Fatih Mah.","15 Aralık
2025"
ISPARTA APART KİRALIK HERŞEY DAHİL ASANSÖRLÜ OTOPARKLI,7.000 TL,Stüdyo (1+0),50,"Anadolu
Yedişehitler Mh.","15 Aralık
2025"
** ̇̇ SAHİBİNDEN 2+1 KİRALIK DAİRE,15.750 TL,2+1,90,"Anadolu
Çünür Mh.","15 Aralık
2025"
Çünür mah 2+1 Apart/Büro Eşyasızdır istenirse eşya eklenecektir,11.000 TL,2+1,60,"Anadolu
Çünür Mh.","15 Aralık
2025"
ÇÜNÜR YENİ TOKI 2023 KİRALIK 2+1 DAİRE,15.500 TL,2+1,120,"Anadolu
Çünür Mh.","15 Aralık
2025"
GEF GAYRİMENKUL'den KİRALIK ULTRA LÜX 1+1 SUİT DAİRELER,19.500 TL,1+1,50,"Anadolu
Fatih Mah.","15 Aralık
2025"
KİRALIK SIFIR LÜKS 1+1 APART,14.500 TL,1+1,45,"Anadolu
Çünür Mh.","15 Aralık
2025"
ZİHNİ BEY GAYRİMENKUL'DEN 2+1 KİRALIK ARAKAT STÜDYO DAİREMİZ,12.000 TL,2+1,50,"Anadolu
Modern Evler Mah.","15 Aralık
2025"
KİRALIK KEÇECİ MAH.3+1 SIFIR DAİRE,30.000 TL,3+1,150,"Çelebiler
Keçeci Mh.","15 Aralık
2025"
sahibinden kiralık,13.000 TL,2+1,110,"Çelebiler
Gülcü Mh.","15 Aralık
2025"
FATİH MAHALLESİNDE KİRALIK 1+0 APART,7.000 TL,Stüdyo (1+0),35,"Anadolu
Fatih Mah.","15 Aralık
2025"
MODERN EVLER MAH YILDIRIM ŞEKERLEME KARŞISINDA KİRALIK EŞYALIAPT,8.500 TL,1+1,40,"Anadolu
Modern Evler Mah.","15 Aralık
2025"
YENİ ŞEHİR ÇÜNÜRDE KİRALIK APART,11.000 TL,2+1,60,"Anadolu
Çünür Mh.","15 Aralık
2025"
32 ARTIBİR EMLAKTAN FATİH MAHALLESİ'NDE 2+0 APART DAİRE,8.500 TL,2+0,45,"Anadolu
Fatih Mah.","15 Aralık
2025"
KARABAY EMLAKTAN BATIKENTTE 3+1 KİRALIK DAİRE,13.500 TL,3+1,120,"Kutlubey
Batıkent Mh.","15 Aralık
2025"
KİİRALIK BAHÇE KAT,7.000 TL,2+1,50,"Anadolu
Modern Evler Mah.","15 Aralık
2025"
ISUBÜ MEYDAN AVM YAKINI 1+1 KİRALIK APART,10.000 TL,1+1,55,"Kutlubey
Hızırbey Mh.","15 Aralık
2025"
ZAFER MAH.SİTE İÇİ ARA KAT KUZEY DOĞU CEPHE SIFIR KİRALIK DAİRE,20.000 TL,3+1,134,"Anadolu
Zafer Mah.","15 Aralık
2025"
Çünürde Geniş Ferah Tertemiz 1+1 Kiralık Apart,9.000 TL,1+1,40,"Anadolu
Çünür Mh.","15 Aralık
2025"
Faturalar Dahil İyaş'a İki Dakika,10.000 TL,Stüdyo (1+0),35,"Anadolu
Fatih Mah.","16 Aralık
2025"
SAHİBİNDEN KİRALIK LÜX APART,15.250 TL,1+1,50,"Kutlubey
Bağlar Mh.","15 Aralık
2025"
ÜNİVERSİTE KARŞISINDA 1+1 SIFIR LÜKS KİRALIK STÜDYO DAİRE,12.000 TL,1+1,40,"Anadolu
Çünür Mh.","15 Aralık
2025"
IYAŞ AVM YE YÜRÜME MESAFESİNDE 1+1 CAM BALKONLU APART,10.000 TL,1+1,50,"Anadolu
Yedişehitler Mh.","15 Aralık
2025"
YENİ ISUBÜ VE MEYDAN AVM YANINDA BAHÇE KAT 1+1 KİRALK APRT 9.000,9.000 TL,1+1,45,"Kutlubey
Bağlar Mh.","15 Aralık
2025"
Gülistan'da kiralık 2+1 daire..,19.000 TL,2+1,100,"Kutlubey
Gülistan Mh.","14 Aralık
2025"
cuma sofrası arkasında lüks apart,10.500 TL,1+1,60,"Anadolu
Yedişehitler Mh.","14 Aralık
2025"
Merkezi Konumda 2+1 Stüdyo Daire,20.000 TL,2+1,70,"Tokmacık
Yayla Mah.","14 Aralık
2025"
VİSTA'DAN SDÜ HASTANE YAKINI KİRALIK 1+1 LÜKS APART,12.000 TL,1+1,55,"Anadolu
Çünür Mh.","14 Aralık
2025"
ÇÜNÜR 'de LÜKS SIFIR EŞYALI 1+1 BALKONLU KİRALIK DAİRE,15.000 TL,1+1,50,"Anadolu
Çünür Mh.","14 Aralık
2025"
IYAŞ AVM ÜSTÜ LÜKS YAKIT İNTERNET DAHİL KİRALIK 2+1 APART,11.000 TL,2+0,75,"Anadolu
Bahçelievler Mh.","14 Aralık
2025"
EYLÜL GİRİŞLİ ISPARTA KİRALIK 2+1 LÜKS APARTLAR,15.000 TL,2+1,55,"Anadolu
Fatih Mah.","14 Aralık
2025"
ISPARTA MERKEZ PİRİ MEHMET MAH. 1+0 HERŞEY DAHİL APART.,7.500 TL,Stüdyo (1+0),20,"Kutlubey
Pirimehmet Mah.","14 Aralık
2025"
FATİH MAH KİRALIK 3+1 GENİŞ DAİRE,18.000 TL,3+1,135,"Anadolu
Fatih Mah.","15 Aralık
2025"
"IYAŞ, Çarşı Merkez ve Otobüs duraklarına yürüme mesafesinde 1+1",12.000 TL,1+1,40,"Anadolu
Bahçelievler Mh.","16 Aralık
2025"
ZİHNİ BEY GAYRİMENKUL'DEN EŞYALI 2+1 ÇARŞI MERKEZİNDE DAİRE,11.000 TL,2+1,45,"Kepeci
Sermet Mah.","14 Aralık
2025"
PARS YAPI EMLAKTAN OTOGARA ÇOK YAKIN 1+1 EŞYALI APART DAİRE,12.500 TL,1+1,55,"Anadolu
Çünür Mh.","14 Aralık
2025"
SAHİBİNDEN kiralık Koçal Yaşam Sitesi,35.000 TL,4+1,211,"Anadolu
Sanayi Mah.","16 Aralık
2025"
2+0 SAHİBİNDEN TEMİZ KİRALIK DAİRE,10.000 TL,2+0,55,"Anadolu
Sanayi Mah.","14 Aralık
2025"
ÇÜNÜR DE OKULLARA YAKIN KİRALIK 3+1 DAİRE,25.000 TL,3+1,145,"Anadolu
Çünür Mh.","16 Aralık
2025"
Sahibinden kiralık 3+1,21.000 TL,3+1,140,"Çelebiler
Vatan Mah.","14 Aralık
2025"
MACRO GAYRİMENKUL'DEN KİRALIK 1+0 KİRALIK APART,7.250 TL,Stüdyo (1+0),35,"Anadolu
Yedişehitler Mh.","14 Aralık
2025"
Müstakil Bahçeli Daire,15.000 TL,3+1,120,"Kutlubey
Hızırbey Mh.","14 Aralık
2025"
FATİH MAHALLESİNDE GENİŞ KİRALIK DAİRE,12.000 TL,2+1,100,"Anadolu
Fatih Mah.","14 Aralık
2025"
