İlan başlığı,Fiyat,Oda sayısı,Metrekare,Mahalle / Konum bilgisi,Yayınlanma tarihi
ISPARTA SANAYİ MAHALLESİ'NDE KİRALIK DAİRE,30.000 TL,3+1,182,"Anadolu
Sanayi Mah.","10 Aralık
2025"
PEKŞEN EMLAK'TAN İYAŞ AVM CİVARINDA BALKONLU EŞYALI APART DAİRE,13.000 TL,2+1,50,"Anadolu
Bahçelievler Mh.","11 Aralık
2025"
ÇEVREYOLUNDA 3+1 160M2 BAKIMLI GÜNEY DOĞU BATI CEPHE AYDINLIK,16.000 TL,3+1,160,"Kepeci
Davraz Mah.","09 Aralık
2025"
123.CADDDEÜZERİ ŞOKMARKET ÜSTÜ ÇATIKAT 1+1 FULL EŞYA 65M2ASANSÖR,11.000 TL,1+1,65,"Çelebiler
Halife Sultan Mah.","09 Aralık
2025"
BAHÇELİEVLER SAĞLIK OCAĞI YANI 2+1 55 M2 3. KAT EŞYALI KOMBİLİ ö,13.900 TL,2+1,55,"Anadolu
Bahçelievler Mh.","09 Aralık
2025"
ADLİYE KARŞISI 1+0 KİRALIK APART,7.500 TL,Stüdyo (1+0),35,"Anadolu
Fatih Mah.","11 Aralık
2025"
//ÇARŞI MERKEZDE KİRALIK LÜKS 1+1 APART DAİRE //,19.000 TL,1+1,55,Kepeci,"10 Aralık
2025"
ÇARŞI MERKEZDE KİRALIK 1+1 APART,8.000 TL,1+1,35,"Kutlubey
Pirimehmet Mah.","11 Aralık
2025"
ÇELİKEV GAYRİMENKUL'DEN HALIKENTTE ARAKAT KOMBİLİ 3+1 DAİRE,14.000 TL,3+1,145,"Çelebiler
Halıkent Mh.","09 Aralık
2025"
DEMİRKÖPRÜ MÜFTÜLÜK CAMİ ALTINDA İLKOKUL KARŞISINDA,17.500 TL,3+1,160,"Kepeci
Karaağaç Mh.","09 Aralık
2025"
PEKŞEN EMLAK'TAN ÖZKANLARDA 2+1 55 M2 ASANSÖRLÜ BALKONLU,12.000 TL,2+1,55,"Kutlubey
Pirimehmet Mah.","09 Aralık
2025"
MEYDAN AVM 5 DK EŞYALI DAİRE,10.000 TL,2+1,70,"Kutlubey
Hızırbey Mh.","11 Aralık
2025"
İLAN 32 GYD // HERŞEY DAHİL ULTRA LÜX KİRALIK APARTLAR,25.000 TL,1+1,45,"Anadolu
Fatih Mah.","09 Aralık
2025"
ISPARTA MERKEZ FATİH MAHALLESİNDE GÜVENLİKLİ KİRALIK DAİRE,29.500 TL,3+1,140,"Anadolu
Fatih Mah.","09 Aralık
2025"
KİRALIK İYAŞA 7-8DK ÇATI KAT 1+0 APART,6.500 TL,Stüdyo (1+0),24,"Anadolu
Fatih Mah.","11 Aralık
2025"
MODERNEVLER'DE HER ŞEY DAHİL KİRALIK 2+0 APART,9.000 TL,2+0,50,"Anadolu
Modern Evler Mah.","09 Aralık
2025"
ISPARTA MERKEZ BAĞLAR MAHALLESİNDE KİRALIK EŞYALI DAİRE,10.000 TL,2+1,90,"Kutlubey
Bağlar Mh.","09 Aralık
2025"
32 ARTIBİR EMLAKTAN STADYUM YANI 2 +1 APART DAİRE,10.000 TL,2+1,55,Kepeci,"09 Aralık
2025"
KİRALIK 2+1 APART,12.500 TL,2+1,50,"Kepeci
İstiklal Mh.","09 Aralık
2025"
GÜLÜSTAN MAHALLESİNDE KİRALIK 2+1 STÜDYO DAİRE 2.KAT ARAKAT,11.500 TL,2+1,60,"Kutlubey
Gülistan Mh.","10 Aralık
2025"
ISPARTA MERKEZ ÇÜNÜR MAH.1+1 7.KAT ASANSÖRLÜ EŞYALI LÜX DAİRE,15.000 TL,1+1,55,"Anadolu
Çünür Mh.","10 Aralık
2025"
YÜCEER GAYRİMENKUL'DEN 2+1 ÇARŞI MERKEZE YAKIN KİRALIK DAİRE,15.000 TL,2+1,100,"Kutlubey
Hızırbey Mh.","09 Aralık
2025"
MERKEZİ KONUMDA HERŞEY DAHİl KİRALIK EŞYALI APART,8.000 TL,Stüdyo (1+0),40,"Anadolu
Fatih Mah.","10 Aralık
2025"
KZ GRUP'TAN MODERNEVLERDE 2+1 40M2 ARAKAT KİRALIK APART,14.000 TL,2+1,40,"Anadolu
Modern Evler Mah.","09 Aralık
2025"
KZ GRUP'TAN ANADOLUDA 2+0 50M2 ARAKAT EŞYALI KİRALIK APART,11.000 TL,2+0,50,Anadolu,"09 Aralık
2025"
MUZEFFER TÜRKEŞ MH.KİRALIK SİTE İÇERİSİ SIFIR 4+1 DAİRE,28.000 TL,4+1,200,"Anadolu
Muzaffer Türkeş Mh.","09 Aralık
2025"
ELİTTEN KAPALI SPOR SALONU ÜZERİNDE KİRALIK 2+1 APART DAİRE,15.250 TL,2+1,55,Kepeci,"08 Aralık
2025"
2+0 kiralik apart,12.500 TL,2+0,70,"Anadolu
Zafer Mah.","09 Aralık
2025"
AİLEYE KİRALIK DAİRE (ÜLKÜ İLKOKULU CİVARINDA),20.000 TL,3+0,110,Kepeci,"08 Aralık
2025"
Sahibinden 2+0 temiz ve geniş apart,10.000 TL,2+0,70,"Anadolu
Modern Evler Mah.","08 Aralık
2025"
ÇÜNÜR MAHALLESİ LÜKS EŞYALI 1+1 KİRALIK DAİRE,12.500 TL,1+1,50,"Anadolu
Çünür Mh.","11 Aralık
2025"
SAHİBİNDEN FATİH MAHALLESİNDE GENİŞ FERAH 3+1,21.000 TL,3+1,160,"Anadolu
Fatih Mah.","08 Aralık
2025"
Muzaffer Türkeş Mh. Oğuzhan Büke Konutları KİRALIK DAİRE 3+1,19.000 TL,3+1,150,"Anadolu
Muzaffer Türkeş Mh.","09 Aralık
2025"
VATAN MAH.KİRALIK 2+1 SIFIR DAİRE,20.000 TL,2+1,100,"Çelebiler
Vatan Mah.","08 Aralık
2025"
SAHİBİNDEN Emre mahallesi kiralık 3+1 Daire,25.500 TL,3+1,155,"Çelebiler
Emre Mah.","08 Aralık
2025"
FK GRUP EMLAK'TAN ZAFER MAH ARA KAT 2+1 BAKIMLI TEMİZ DAİRE,10.000 TL,2+1,120,"Anadolu
Zafer Mah.","08 Aralık
2025"
sahibinden,25.000 TL,3+1,165,"Anadolu
Çünür Mh.","08 Aralık
2025"
SİDRE MAHALLESİNDE SIFIR 2+1 85 M² KİRALIK DAİRE,15.000 TL,2+1,85,"Çelebiler
Sidre Mah.","08 Aralık
2025"
ISPARTA MERKEZ ÇÜNÜR MAHALLESİNDE LÜX KIRALIK APART,14.500 TL,1+1,48,"Anadolu
Çünür Mh.","08 Aralık
2025"
ÇÜNÜR DE PAZAR YERİ YANIN DA OKUL KARŞISINDA 3+1 KİRALIK DAİRE,25.000 TL,3+1,160,"Anadolu
Çünür Mh.","10 Aralık
2025"
ADLİYE ÜSTÜ FATİH PARKI ALTI KİRALIK BALKONLU 2+1 14.000₺,14.000 TL,2+1,50,"Anadolu
Fatih Mah.","12 Aralık
2025"
FATİHTE 1+1 KİRALIK GENİŞ YENİ EŞYALI APART,12.000 TL,1+1,50,"Anadolu
Fatih Mah.","10 Aralık
2025"
MEYDAN AVM ÜSTÜ ISUBÜ ÜNVERSTESİNE 100m uzaklkta Ful eşylı apart,7.500 TL,Stüdyo (1+0),25,"Tokmacık
Yayla Mah.","08 Aralık
2025"
Tertemiz hiç kullanılmamış sıfır eşyalı daire (2+1),19.000 TL,2+1,60,"Anadolu
Fatih Mah.","08 Aralık
2025"
BAHÇELİEVLER SAĞLIK OCAĞI YANI 1+1 55 M2 3. KAT EŞYALI KOMBİLİ,12.900 TL,1+1,55,"Anadolu
Bahçelievler Mh.","09 Aralık
2025"
Barida Karşısı 1+1 Herşey Dahil Apartlar,15.500 TL,1+1,40,"Anadolu
Modern Evler Mah.","08 Aralık
2025"
FATİH MAHALLESİ'NDE KİRALIK 1+0 APART,8.000 TL,Stüdyo (1+0),30,"Anadolu
Fatih Mah.","08 Aralık
2025"
BLACK// IYAŞ 900 mt. ÜZERİ KİRALIK 1+1 GENİŞ APART,10.500 TL,1+1,55,"Anadolu
Zafer Mah.","11 Aralık
2025"
ASLAN EMLAK'TAN KULE246'da KİRALIK DAİRE,26.000 TL,3+1,136,"Kepeci
Davraz Mah.","08 Aralık
2025"
ISPARTA FATİH MAHALLESİNDE 2+0 KİRALIK APART,10.000 TL,2+0,35,"Anadolu
Fatih Mah.","08 Aralık
2025"
ISPARTA APART LÜKS 2+1 LER,16.000 TL,2+0,45,"Anadolu
Bahçelievler Mh.","09 Aralık
2025"
ISPARTA APART HERŞEY DAHİL TEK KİŞİLİK,7.000 TL,Stüdyo (1+0),30,"Anadolu
Yedişehitler Mh.","09 Aralık
2025"
ISPARTA MERKEZ EMRE MAHALLESİNDE SİTE İÇERİSİNDE KİRALIK DAİRE,18.000 TL,2+1,100,"Çelebiler
Emre Mah.","08 Aralık
2025"
KAYA EMLAKTAN ÖZKANLARDA KİRALIK 2+1 EŞYALI APART,13.000 TL,2+1,55,"Kutlubey
Pirimehmet Mah.","08 Aralık
2025"
KAYA EMLAKTAN FATİH MAH. KİRALIK 2+1 EŞYALI APART,10.000 TL,2+1,60,"Anadolu
Fatih Mah.","08 Aralık
2025"
HERŞEY DAHİL ULTRA LÜX 1+1 KİRALIK APARTLAR,25.000 TL,1+1,45,"Anadolu
Fatih Mah.","09 Aralık
2025"
DAVRAZ MAH YENİ KÖY GARAJI ALTINDA 3+1 KİRALIK DAİRE,25.000 TL,3+1,150,"Kepeci
Davraz Mah.","09 Aralık
2025"
Hisar Mahallesi Çay Yolunda 3+1 Kombili 150m2 Kiralık Daire,36.750 TL,3+1,150,"Çelebiler
Hisar Mah.","08 Aralık
2025"
2+1 yeni içten ve dıştan izolasyonlu enerji tasarrufu üst düzey,17.000 TL,2+1,90,"Kutlubey
Işıkkent Mh.","08 Aralık
2025"
Yeni Üniversite ye ve Çarşıya Yürüyüş mesafesinde,13.500 TL,2+1,60,"Kutlubey
Hızırbey Mh.","09 Aralık
2025"
ISPARTA MERKEZ MUZAFFER TÜRKEŞ MAHALLESİNDE SIFIR KİRALIK DAİRE,25.000 TL,3+1,145,"Anadolu
Muzaffer Türkeş Mh.","08 Aralık
2025"
ÇARŞI MERKEZDE EŞYALI KİRALIK 1+1 DAİRE,13.000 TL,1+1,50,"Kutlubey
Pirimehmet Mah.","08 Aralık
2025"
KZ GRUP'TAN MODERNEVLERDE 1+1 45M2 ÇATI KAT EŞYALI KİRALIK APART,9.000 TL,1+1,45,"Anadolu
Modern Evler Mah.","09 Aralık
2025"
KZ GRUP'TAN ANADOLUDA 1+1 50M2 ARAKAT EŞYALI KİRALIK APART,12.000 TL,1+1,50,Anadolu,"09 Aralık
2025"
GÖKÇAYDA KİRALIK 4+1 LÜX KİRALIK DAİRE,30.000 TL,4+1,160,"Çelebiler
Keçeci Mh.","08 Aralık
2025"
ÇÜNÜRDE KİRALIK ARA KAT BALKONLU EŞYALI 1+1 APART,12.000 TL,1+1,45,"Anadolu
Çünür Mh.","08 Aralık
2025"
ÇARŞI MERKEZDE MEYDAN AVM KARŞISINDA KİRALIK 3+1 DAİRE,14.000 TL,3+1,130,"Kutlubey
Pirimehmet Mah.","08 Aralık
2025"
Kiralık apart,18.000 TL,2+1,55,"Anadolu
Mehmet Tönge Mh.","08 Aralık
2025"
ÇÜNÜRDE MEMURDAN 2+1 EŞYALI KİRALIK APART,17.000 TL,2+1,60,"Anadolu
Çünür Mh.","08 Aralık
2025"
YAĞMUR EMLAK'TAN MERKEZDE HERŞEY DAHİL KİRALIK APART,12.000 TL,1+1,31,"Kutlubey
Pirimehmet Mah.","08 Aralık
2025"
Kiralık yer,10.000 TL,1+1,50,"Anadolu
Zafer Mah.","09 Aralık
2025"
Kiralık Çatı Katı Bireysel Kombili Teraslı ve Balkonlu,8.500 TL,2+0,100,"Kepeci
Karaağaç Mh.","07 Aralık
2025"
KİRALIK MODERNEVLERDE ARA KAT 2+1 APARTIMIZ,11.000 TL,2+1,55,"Anadolu
Modern Evler Mah.","07 Aralık
2025"
SAHİBİNDEN KİRALIK 3+1 DAİRE ASANSÖR OTOPARKLI ÖZKANLAR KAVŞAĞI,18.000 TL,3+1,150,"Kutlubey
Pirimehmet Mah.","07 Aralık
2025"
KARAAĞAÇ MAHALLESİ KİRALIK DUBLEKS DAİRE,35.000 TL,4+1,320,"Kepeci
Karaağaç Mh.","07 Aralık
2025"
ÇÜNÜR MAHALLESİ SİTE İÇİ LÜKS 3+1 KİRALIK DAİRE,21.000 TL,3+1,135,"Anadolu
Çünür Mh.","11 Aralık
2025"
Sahibinden Eşyalı 1+0 Apart,7.500 TL,Stüdyo (1+0),30,"Anadolu
Mehmet Tönge Mh.","07 Aralık
2025"
32 ARTIBİR EMLAKTAN ÇÜNÜRDE ARAKAT 3+1 GÜNEY CEPHE DAİRE,20.000 TL,3+1,155,"Anadolu
Çünür Mh.","11 Aralık
2025"
ÇARŞI ANA CADDE ÇOK GENİŞ 1+1 60M2 FATURALAR DAHİL,16.000 TL,1+1,62,"Kutlubey
Hızırbey Mh.","07 Aralık
2025"
32 ARTIBİR EMLAKTAN VALİLİK YANI 2+1 EŞYALI DAİRE,10.000 TL,2+1,135,"Çelebiler
İskender Mh.","07 Aralık
2025"
KİRALIK 3+1 DAİRE HIZIRBEY ORTA OKULU YUKARISINDA,12.000 TL,3+1,130,"Kutlubey
Işıkkent Mh.","07 Aralık
2025"
Isparta apart 1+1 arakat,13.000 TL,1+1,50,"Anadolu
Fatih Mah.","09 Aralık
2025"
kiralık sıfır daire,26.000 TL,3+1,185,"Kepeci
Davraz Mah.","07 Aralık
2025"
ISPARTA MERKEZ PİRİMEHMET MAHALLESİNDE KİRALIK APART,13.500 TL,2+0,56,"Kutlubey
Pirimehmet Mah.","08 Aralık
2025"
ÇÜNÜR'DE SAHİBİNDEN YEMYEŞİL SİTE İÇİ ARAKAT 3+1 KİRALIK,30.000 TL,3+1,165,"Anadolu
Çünür Mh.","07 Aralık
2025"
SIFIR ESYALİ ARA KAT 2+1,17.000 TL,2+1,65,"Anadolu
Çünür Mh.","07 Aralık
2025"
ZİHNİ BEY GAYRİMENKUL'DEN LÜKS 2+1 80 m2 DAİREMİZ,17.500 TL,2+1,80,"Anadolu
Modern Evler Mah.","09 Aralık
2025"
MNS GAYRİMENKULDEN KİRALIK İSKENDER MAH 3+1 ARAKAT DAİRE,20.000 TL,3+1,150,"Çelebiler
İskender Mh.","07 Aralık
2025"
ADLİYE YANI KİRALIK ARA KAT BALKONLU 2+1 APART 14.000₺,14.000 TL,2+1,50,"Anadolu
Fatih Mah.","12 Aralık
2025"
,,,,,
İYAŞ AVM ÜZERİ 2+1 EŞYALI KİRALIK APART,12.500 TL,2+1,55,"Anadolu
Bahçelievler Mh.","08 Aralık
2025"
ISPARTA MERKEZ ÇELEBILERDE EŞYALI 2+1 KIRALIK DAIRE,16.000 TL,2+1,80,"Çelebiler
Çelebiler Mh.","07 Aralık
2025"
Güneş Gayrimenkul'den Meydan AVM Mevki Yakıt Net Dahil 1+0,7.250 TL,Stüdyo (1+0),35,"Tokmacık
Yayla Mah.","07 Aralık
2025"
MERKEZİ KONUMGENİŞ 2+1 BÜYÜKLÜĞÜNDE 37M2 ULTRALÜX HERYERE YÜRÜME,10.000 TL,Stüdyo (1+0),37,"Anadolu
Bahçelievler Mh.","09 Aralık
2025"
NAZMİYE DEMİREL ve ŞEHİR HASTANESİ YAKINI LUX DAİRE 4+1 3.K/GKD,25.000 TL,4+1,200,"Kepeci
İstiklal Mh.","07 Aralık
2025"
üniversite karşısı 1+1 apart,11.500 TL,1+1,55,"Anadolu
Çünür Mh.","10 Aralık
2025"
Kiralık apart,7.000 TL,Stüdyo (1+0),25,"Anadolu
Fatih Mah.","07 Aralık
2025"
KİRALIK APART,8.000 TL,Stüdyo (1+0),80,"Anadolu
Yedişehitler Mh.","07 Aralık
2025"
BARİDA OTEL KARŞISI YAKIT İNTERNET DAHİL 1+1 KİRALIK DAİRE,14.000 TL,1+1,50,"Anadolu
Modern Evler Mah.","10 Aralık
2025"
GYM FACTORY ÜZERİ ASANSÖRLÜ 2+1 DAİRE,17.500 TL,2+1,100,"Anadolu
Bahçelievler Mh.","07 Aralık
2025"
ISPARTA KİRALIK APART HERŞEY DAHİL,7.000 TL,Stüdyo (1+0),35,"Anadolu
Bahçelievler Mh.","09 Aralık
2025"
FATİH 'te 1+1 EŞYASIZ SİTE İÇİ B. KOMBİLİ KİRALIK APART DAİRE,9.000 TL,1+1,45,"Anadolu
Fatih Mah.","07 Aralık
2025"
otogar karşisinda sıfır eşyali kiralık apart,12.999 TL,1+1,60,"Anadolu
Çünür Mh.","07 Aralık
2025"
ULTRA LÜX EŞYALI 1+1 APART,20.000 TL,1+1,75,"Anadolu
Bahçelievler Mh.","09 Aralık
2025"
HERŞEY DAHİL-Orduevine çok yakın 2+1 Apart-Arakat,19.000 TL,2+1,60,"Çelebiler
İskender Mh.","07 Aralık
2025"
ISPARTA MERKEZ MUZAFFERTÜRKEŞ MAHALLESİNDE KİRALIK SIFIR DAİRE,23.500 TL,3+1,135,"Anadolu
Muzaffer Türkeş Mh.","08 Aralık
2025"
ÇÜNÜRDE EŞYALI 2+0 APART CAM BALKONLU,12.500 TL,2+0,55,"Anadolu
Çünür Mh.","10 Aralık
2025"
KZ GRUP'TAN FATİHTE 2+0 45M2 ARAKAT EŞYALI KİRALIK APART,10.000 TL,2+0,45,"Anadolu
Fatih Mah.","09 Aralık
2025"
KZ GRUP'TAN FATİHTE DOĞALGAZ DAHİL 1+1 45M2 ARAKAT KİRALIK APART,16.000 TL,1+1,45,"Anadolu
Fatih Mah.","09 Aralık
2025"
ÇARŞI MERKEZDE EŞYALI FERAH 2+1 DAİRE,14.000 TL,2+1,60,"Kutlubey
Pirimehmet Mah.","08 Aralık
2025"
ÇELİKEV GAYRİMENKUL'DEN İYAŞ AVM'YE 3DK MESAFEDE ARAKAT 1+1 APAR,12.000 TL,1+1,52,"Anadolu
Bahçelievler Mh.","07 Aralık
2025"
ISPARTA IŞIKKENT'TE 3+1 BAHÇELİ KİRALIK DAİRE,12.000 TL,3+1,150,"Kutlubey
Işıkkent Mh.","06 Aralık
2025"
YENİ ISUBÜ VE MEYDAN AVM YANINDA KİRALIK 2+0 APART 10.000₺,10.000 TL,2+0,45,"Tokmacık
Yayla Mah.","06 Aralık
2025"
ATALAR EMLAKTAN KİRALIK 1+1 LÜKS APART,17.000 TL,1+1,55,"Anadolu
Fatih Mah.","07 Aralık
2025"
KIRALIK apart,12.000 TL,2+0,50,"Anadolu
Yedişehitler Mh.","08 Aralık
2025"
Isparta Sanayi Mahallesi'nde Kiralık Daire,30.000 TL,3+1,182,"Anadolu
Sanayi Mah.","08 Aralık
2025"
kiralık apart,8.000 TL,Stüdyo (1+0),45,"Anadolu
Yedişehitler Mh.","08 Aralık
2025"
YÜCEER GAYRİMENKUL'DEN DAVRAZ MAH. GENİŞ 3+1 KİRALIK DAİRE,15.000 TL,3+1,140,"Kepeci
Davraz Mah.","08 Aralık
2025"
ISPARTA MERKEZ AYAZMANA MAHALLESİ KİRALIK 3+1 DAİRE,28.000 TL,3+1,160,"Çelebiler
Ayazmana Mah.","06 Aralık
2025"
İYAŞ AVM ALTINDA KİRALIK EŞYALI BÜYÜK APART...,7.000 TL,2+1,65,"Anadolu
Modern Evler Mah.","06 Aralık
2025"
İSTİKLÂL MAHALLESİ KİRALIK 1+0 APART DAİRELER,8.000 TL,Stüdyo (1+0),35,"Kepeci
İstiklal Mh.","06 Aralık
2025"
ZİHNİ BEY GAYRİMENKUL'DEN 2+1 LÜKS STÜDYO DAİREMİZ,11.000 TL,2+1,60,"Anadolu
Modern Evler Mah.","09 Aralık
2025"
TEKİN EMLAKTAN KİRALIK,15.000 TL,2+1,110,"Kutlubey
Işıkkent Mh.","06 Aralık
2025"
Kiralık stüdyo daire,8.500 TL,1+1,35,"Anadolu
Fatih Mah.","06 Aralık
2025"
ISIKKENTTE AİLE APARTMANINDA 3+1 KİRALIK DAİRE,12.000 TL,3+1,137,"Kutlubey
Işıkkent Mh.","06 Aralık
2025"
ZAFER MAHALLESİ KİRALIK,8.000 TL,3+1,120,"Anadolu
Zafer Mah.","06 Aralık
2025"
ŞEHRİN MERKEZİ İSTİKLAL'DE 3+1 KİRALIK YENİ DAİRE,25.000 TL,3+1,150,"Kepeci
İstiklal Mh.","06 Aralık
2025"
ÇÜNÜR PARS YAŞAM DA KİRALIK 1+1 EŞYALI APART DAİRE,12.500 TL,1+1,55,"Anadolu
Çünür Mh.","07 Aralık
2025"
AYAZMANA MAHALLESİ KİRALIK,18.000 TL,3+1,160,"Çelebiler
Ayazmana Mah.","06 Aralık
2025"
ÇARŞI MERKEZE 5 DK YÜRÜME MESAFESİNDE SÜPER 1+0 KİRALIK APART,14.000 TL,Stüdyo (1+0),50,"Anadolu
Bahçelievler Mh.","08 Aralık
2025"
PARLAİS EMLAKTAN ÇÜNÜRDE KİRALIK 3+1 150 m2 GENİŞ DAİRE,24.000 TL,3+1,150,"Anadolu
Çünür Mh.","06 Aralık
2025"
ISPARTA KARGOCULAR SOKAĞINDA 3+1 KİRALIK DAİRE,21.000 TL,3+1,200,"Çelebiler
Çelebiler Mh.","06 Aralık
2025"
KİRALIK 3+1 DAİRE İKİZLER EMLAK,22.000 TL,3+1,155,"Anadolu
Çünür Mh.","10 Aralık
2025"
"Çayboyu'nda, üniversiteye 100 metre mesafede kiralık apart",12.000 TL,1+1,55,"Çelebiler
Turan Mah.","06 Aralık
2025"
Sahibinden Hızrbey de Geniş 3+1 Bahçe Kat,13.750 TL,3+1,130,"Kutlubey
Hızırbey Mh.","06 Aralık
2025"
ISPARTA MERKEZ GÜLİSTAN MAHALLESİNDE BAKIMLI KİRALIK DAİRE,15.000 TL,2+1,100,"Kutlubey
Gülistan Mh.","06 Aralık
2025"
MUZAFFER TÜRKEŞ TE GÜNEY BATİ 2+1 DAİRE,15.000 TL,2+1,100,"Anadolu
Muzaffer Türkeş Mh.","06 Aralık
2025"
GENİŞ ÇOK MERKEZİ DOĞALGAZLI 2+1 BALKONLU KİRALIK DAİRE,11.000 TL,2+1,90,"Kutlubey
Hızırbey Mh.","06 Aralık
2025"
"ELİT'TEN, DAVRAZ'DA İÇİ YAPILI 3+1 MÜSTAKİL EV (Davraz Evi)",14.500 TL,2+1,100,"Kepeci
Davraz Mah.","06 Aralık
2025"
YÜCCER GAYRİMENKUL'DEN OFİS&KONUT KULLANIMINA UYGUN 1+1 DAİRE,20.000 TL,1+1,60,"Anadolu
Bahçelievler Mh.","06 Aralık
2025"
KİRALIK 3+1 BAKIMLI DAİRE,15.000 TL,3+1,135,"Çelebiler
Halıkent Mh.","06 Aralık
2025"
ISPARTA APART 1+1,10.000 TL,1+1,45,"Anadolu
Bahçelievler Mh.","09 Aralık
2025"
KİRALIK 1+1,7.000 TL,1+1,35,"Anadolu
Sanayi Mah.","06 Aralık
2025"
HERŞEY DAHİL 2+1,12.500 TL,2+1,55,"Anadolu
Bahçelievler Mh.","06 Aralık
2025"
MODERN EVLER MAH.FULL EŞYALI 2+1 KİRALIK APART,11.000 TL,2+1,55,"Anadolu
Modern Evler Mah.","06 Aralık
2025"
KAYA EMLAKTAN SIFIR 4+1 KİRALIK DAİRE,35.000 TL,4+1,175,"Anadolu
Muzaffer Türkeş Mh.","06 Aralık
2025"
ÇARŞI MERKEZDE 2+1 HERŞEY DAHİL KIZ APARTI,9.000 TL,2+1,55,"Kutlubey
Pirimehmet Mah.","07 Aralık
2025"
4+1 GİYİNME ODALI GÜNEY DOĞU CEPHE KİRALIK DAİRE,23.000 TL,4+1,175,"Anadolu
Çünür Mh.","09 Aralık
2025"
KZ GRUP'TAN FATİHTE DOĞALGAZ DAHİL 1+0 35M2 ARAKAT KİRALIK APART,7.500 TL,Stüdyo (1+0),35,"Anadolu
Fatih Mah.","09 Aralık
2025"
KZ GRUP'TAN FATİHTE 2+0 50M2 ARAKAT EŞYALI KİRALIK APART,14.000 TL,2+0,50,"Anadolu
Fatih Mah.","09 Aralık
2025"
1+1 SIFIR LÜKS APARTLAR,18.000 TL,2+1,55,"Anadolu
Yedişehitler Mh.","06 Aralık
2025"
KİRALIK 3+1 ARAKAT DAİRE 2.KAT GÜNEY CEPHE DEPOSU MEVCUT,19.500 TL,3+1,145,"Çelebiler
Ayazmana Mah.","06 Aralık
2025"
SAHİBİNDEN KİRALIK 3+1 LÜX DAİRE,24.000 TL,3+1,155,"Kepeci
Davraz Mah.","05 Aralık
2025"
DİNÇER GYD-HIZIRBEY MAH 2+1 MERKEZİ KONUM DAİRE 17.000₺,17.000 TL,2+1,85,"Kutlubey
Hızırbey Mh.","05 Aralık
2025"
7 ŞEHİTLER MAHALLESİ KİRALIK,14.000 TL,2+1,120,"Anadolu
Yedişehitler Mh.","05 Aralık
2025"
Sahibinden 3+1 temiz daire,16.000 TL,3+1,130,"Kepeci
Karaağaç Mh.","05 Aralık
2025"
YEDİŞEHİTLER IYAŞA 10 DK 1+0 DAİRELER,9.000 TL,Stüdyo (1+0),35,"Anadolu
Yedişehitler Mh.","07 Aralık
2025"
"ISPARTA MERKEZ FATİH MH.,2+1, 45 M2, EŞYALI, KİRALIK APART DAİRE",7.000 TL,2+1,45,"Anadolu
Fatih Mah.","08 Aralık
2025"
FK GRUP EMLAK'TAN HIZIRBEY'de BAHÇE KAT BÜYÜK 2+1,9.000 TL,2+1,125,"Kutlubey
Hızırbey Mh.","05 Aralık
2025"
MODERNEVLER MAHALLESİ ARA KAT KİRALIK 2+1 APART,13.750 TL,2+1,50,"Anadolu
Modern Evler Mah.","07 Aralık
2025"
1+0 Arakat Kiralık Daire (Isıtma ve İnternet Dahil),8.500 TL,Stüdyo (1+0),25,"Anadolu
Yedişehitler Mh.","05 Aralık
2025"
EMRE MAHALLESİNDE SİTE İÇİ GÜVENLİKLİ 3+1 165 M² KİRALIK DAİRE,24.000 TL,3+1,165,"Çelebiler
Emre Mah.","05 Aralık
2025"
EYLÜL GİRİŞLİ ISPARTA 2+1 LER,15.000 TL,2+1,50,"Anadolu
Fatih Mah.","09 Aralık
2025"
FATİH MAHALLESİ'NDE SIFIR LÜX KİRALIK 1+1 APART,15.000 TL,1+1,50,"Anadolu
Fatih Mah.","06 Aralık
2025"
SAHİBİNDEN KİRALIK 2+1 ARAKAT DAİRE,22.000 TL,2+1,110,"Anadolu
Çünür Mh.","05 Aralık
2025"
,,,,,
İSTASYON CADDESİ İSTİKLAL CAMİ ARKASI KİRALIK LÜKS 2+1 APART,15.000 TL,2+1,55,"Kepeci
İstiklal Mh.","05 Aralık
2025"
Kiralık apart,6.000 TL,Stüdyo (1+0),20,"Kutlubey
Hızırbey Mh.","05 Aralık
2025"
Özenle Yapılmış Kapalı Otoparklı Kiralık 3+1 Ev,20.000 TL,3+1,125,"Kutlubey
Binbirevler Mah.","05 Aralık
2025"
HIZIRBEY DE KİRALIK DAİRE,14.250 TL,3+1,135,"Kutlubey
Hızırbey Mh.","05 Aralık
2025"
Batıkent kiralık daire,13.000 TL,2+1,100,"Kutlubey
Batıkent Mh.","05 Aralık
2025"
İYAŞ YAKINI HER ODASI BALKONLU 50M2 (2+1)RAHAT GENİŞAPART DAİRE,13.000 TL,2+1,60,"Anadolu
Modern Evler Mah.","05 Aralık
2025"
FATİH MAHALLESİ ADLİYE ÜZERİ ANA CADDE'DE 3+1 KİRALIK DAİRE,19.000 TL,3+1,135,"Anadolu
Fatih Mah.","05 Aralık
2025"
ZAFER MAHALLESİ KİRALIK,10.000 TL,3+1,145,"Anadolu
Zafer Mah.","06 Aralık
2025"
FAVORİ EMLAKTAN KİRALIK LÜKS 1+1 APART,22.000 TL,1+1,55,"Kepeci
İstiklal Mh.","05 Aralık
2025"
